,name,Tullio_Data,Satus,comment,corot,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk_fit,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej,geometry,logL_ourmass,logL_fitmass,chi2_t^-2_fitmass,chi2_t^-2_ourmass,logL_fitmass_new,logL_ourmass_new,err_ourmass_new,err_fitmass_new,logL
10,DD2_M14861254_M0_LR,,,R01,False,,passed,DD2,1486.0,1254.0,1.6359,1.3583,2.9942,1.4740133838,1.24471363159,8.96166461003,8.91309676871,0.16447984299,0.13964987454299999,0.0937810452991,0.106731976282,519.349649344,1339.67094521,837.8555014749272,157.37069379166357,0.04028906222494763,,2.71388,0.033996947724099995,7.40895,1.45945741486,283.32444659333026,2440.17021277,0.01188191268553238,inf,0.04028906222494763,,0.09958667217378414,,0.0016582,0.0,0.0018889359018157336,0.03276322503770366,31.114676933432182,0.1985926985781328,16.63100442630563,0.16517801801471474,0.0404361874531572,aniso3comp,-25723.60212090285,-25723.60212090285,12398.871085395664,12398.871085395664,-16425.52730628263,-16425.52730628263,0.012182401104743518,0.012182401104743518,32851.05461256525
11,DD2_M14971246_M0_LR,,,,False,,passed,DD2,1497.0,1246.0,,,,,,,,,,,,,,,,0.046562554699724285,,,0.0379085046316,,1.53497053581,,2440.17021277,0.009280981289463064,inf,0.046562554699724285,,,,0.00124425,0.0,0.0014207997946042187,0.02622073275601021,32.15101966171285,0.20623049896054246,20.210495048157526,0.17586470166526022,0.034394765662094866,aniso3comp,,,,,,,,,
12,DD2_M15091235_M0_LK_SR,,,R04,False,,passed,DD2,1509.0,1235.0,1.6632,1.3343,2.9975,1.49611454524,1.2245144021799999,8.96395661617,8.91186674116,0.166903256584,0.137402887702,0.0924482717295,0.107466500474,475.861252986,1462.87498411,839.5582280921059,157.7969963704104,0.027166744422808,,2.71968,0.0388174464407,7.40527,1.47946015724,283.28306630812637,2489.96960486,0.007748036684662964,inf,0.027166744422808,,0.09959185468406351,,0.00268757,0.0004229435747290284,0.0031704992594988827,0.028389415957575836,30.30340368100475,0.1980137821952377,15.548060684224039,0.18235481651264893,0.07987730190124821,aniso3comp,-17761.749209516925,-17761.749209516925,8495.097790084044,8495.097790084044,-13597.750872585239,-13597.750872585239,0.009630702151898068,0.009630702151898068,27195.501745170503
13,LS220_M13641364_M0_LK_SR,,,R03,False,,passed,LS220,1364.0,1364.0,1.4912,1.4912,2.9824,1.34089609351,1.34089609351,8.61280868228,8.61280868228,0.155686193601,0.155686193601,0.09808863970170001,0.09808863970170001,714.948741246,714.948741246,714.9487412463478,134.05351980529338,0.022272474539847813,,2.70282,0.0614343463642,7.39835,2.01262244461,282.4745591972195,2987.96352584,0.011697149728485148,inf,0.022272474539847813,,0.09870621356962309,,0.00127878,0.13153545174148806,0.0016380341276863253,0.005818682458331545,35.27155287569458,0.2519298028730509,20.22695242410736,0.1647037002946402,0.031004906131999545,aniso3comp,-21474.80302633532,-21474.80302633532,9334.64042822596,9334.64042822596,-18644.51553422484,-18644.51553422484,0.013428605316840876,0.013428605316840876,37289.031068449665
14,LS220_M13641364_M0_LR,,,R01,False,,passed,LS220,1364.0,1364.0,1.4912,1.4912,2.9824,1.34089609351,1.34089609351,8.61280868228,8.61280868228,0.155686193601,0.155686193601,0.09808863970170001,0.09808863970170001,714.948741246,714.948741246,714.9487412463478,134.05351980529338,0.04054126292745122,,2.70282,0.05224183908630002,7.39835,1.86803398265,282.4745591972195,2987.96352584,0.013285226027062405,0.017294109151497226,0.04054126292745122,0.09292000665103446,0.09870621356962309,,0.00201487,0.0,0.0037708620657195694,0.011848737323934336,31.811043241108354,0.21101899219529047,15.815885652488742,0.16705114986857714,0.05025457595591088,aniso3comp,-17730.598278669644,-15789.371867697637,6924.60841705412,3740.650353820975,-15384.836908156552,-17730.598278669644,0.010933757595653956,0.011055962452551771,30769.6738163131
15,LS220_M13641364_M0_SR,,,R01,False,,passed,LS220,1364.0,1364.0,1.4912,1.4912,2.9824,1.34089609351,1.34089609351,8.61280868228,8.61280868228,0.155686193601,0.155686193601,0.09808863970170001,0.09808863970170001,714.948741246,714.948741246,714.9487412463478,134.05351980529338,0.05085784791423848,,2.70282,0.0502843289539,7.39835,1.8377633646,282.4745591972195,2987.96352584,0.013659586444841164,0.015682389037060256,0.05085784791423848,0.09789748078208768,0.09870621356962309,,0.00169045,0.0,0.0027422717032461737,0.008309151533175341,32.5284676908735,0.2173613884206277,16.979887836079154,0.1553627578384099,0.03646913153087284,aniso3comp,-17668.791599248187,-19433.53481140944,8879.75238038484,4959.310009328891,-17475.16851615673,-17668.791599248187,0.012295154182361712,0.012376656854031462,34950.33703231347
16,LS220_M14001330_M0_SR,,,R01,False,,passed,LS220,1.4,1.33,1.5343,1.4499,2.9842,1.37590980007,1.30718560357,8.59886009026,8.629269301599999,0.160010559714,0.151482885308,0.09483532310750001,0.100912974479,602.742319993,843.414093353,714.5993851946083,134.02193268821406,0.03695528418872837,,2.7041,0.0524482635657,7.4016699999999975,1.88012028551,282.6193901954332,3037.76291793,0.013683155735240465,0.016911941987225634,0.03695528418872837,0.08490947239639285,0.09870136918130237,,0.00171275,0.0,0.003082685083115687,0.009565051381897716,30.93068281681053,0.20550442171086675,16.156207129592758,0.1611557358015764,0.039757202009091504,aniso3comp,-23621.946608330323,-18353.996756072767,8211.722485530378,4920.657398059629,-16783.89643567025,-23621.946608330323,0.012127036409631477,0.01207077595174616,33567.792871340505
17,LS220_M14351298_M0_SR,,,R01,False,,passed,LS220,1435.0,1298.0,1.5771,1.4119,2989.0,1.41044414277,1.2759437083299998,8.58242814733,8.637031974760001,0.1643407103,0.147729730751,0.0916430445101,0.103849833026,509.655591408,983.970588358,714.2818775782486,134.05839996407732,0.038704926562347,,2.70742,0.04939387332769999,7.40455,1.80033721272,282.8215169731599,2987.96352584,0.013635756342717091,0.016628327957713053,0.038704926562347,0.11641051283201778,0.0986969485248325,,0.0023976,0.0,0.0027433290500889717,0.011241251103681174,26.687012691240664,0.17330408317240156,12.590244717717715,0.19079394221638304,0.0780072954955943,aniso3comp,-10771.911120466877,-11926.32646319163,4550.326601430829,3151.0482475589033,-14021.241788378764,-10771.911120466877,0.01156885910591068,0.009890193274336566,28042.483576757546
18,LS220_M14691268_M0_LK_SR,,,R03,False,,passed,LS220,1469.0,1268.0,1.6195,1.3769,2.9964,1.4444353298700001,1.2470205847799998,8.563919049739999,8.642672727110003,0.16866535022,0.14428651246500002,0.0884964771098,0.10656716858200001,432.224328115,1136.06687419,713.8651489563788,134.12846165089059,0.022367049803286656,,2.71256,0.0444810203762,7.4058699999999975,1.61359581716,283.00454515771554,2938.16413374,0.011578595399583296,inf,0.022367049803286656,,0.09869112043741443,,0.00320271,0.04610084964573246,0.00378046854554096,0.011786757348625616,31.538512351325558,0.20905496826507566,14.716662842780025,0.16937323414875216,0.08211742302738761,aniso3comp,-11530.035702879099,-11530.035702879099,4947.385681901696,4947.385681901696,-13997.451025762737,-13997.451025762737,0.009674559972182148,0.009674559972182148,27994.902051525445
19,LS220_M14691268_M0_LR,,,R01,False,,passed,LS220,1469.0,1268.0,1.6195,1.3769,2.9964,1.4444353298700001,1.2470205847799998,8.563919049739999,8.642672727110003,0.16866535022,0.14428651246500002,0.0884964771098,0.10656716858200001,432.224328115,1136.06687419,713.8651489563788,134.12846165089059,0.042590393635292836,,2.71256,0.0467999897349,7.4058699999999975,1.7250113316799998,283.00454515771554,2987.96352584,0.013111502794487894,inf,0.042590393635292836,,0.09869112043741443,,0.00366436,0.0,0.004417535640538319,0.029549427224887775,29.560522851256753,0.17762233751855847,12.991899817299617,0.16552700345615606,0.08973559992404072,aniso3comp,-11201.816232788971,-11201.816232788971,4854.799596212607,4854.799596212607,-13880.224192150175,-13880.224192150175,0.0095759825001545,0.0095759825001545,27760.44838430034
