,name,reliable,corot,Tullio_Data,Satus,comment,resolution,dyn_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,tend,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll,tend.1,Mdisk,Mdisk3D,Mej,dMej,Munb,Munb_bern,ThetaRMS,Yeej,Sej,vej,Ekej,chi2_simDisk,chi2_fitDisk,err_simDisk,err_fitDisk,chi2w_simDisk,chi2w_fitDisk,errw_simDisk,errw_fitDisk,chi2
10,DD2_M13641364_M0_SR_R04,True,False,,,R04,SR,passed,DD2,1364.0,1364.0,1.4873,1.4873,2.9746,1.35229088177,1.35229088177,8.940910431639997,8.940910431639997,0.151247857097,0.151247857097,0.100905720279,0.100905720279,849.935135478,849.935135478,849.9351354777667,159.36012022924925,0.08717474907475464,,2.70356,0.0479317557179,7.4056,1.7874287852500002,282.65917893120616,2539.76899696,0.009320946234584187,inf,0.08717474907475464,,,0.00102604,0.0,0.0012190687818710185,0.018455372634401446,36.81575205910953,0.24381166099236384,26.098977142119214,0.187723603506686,0.03231690970280169,37206.99482521346,37206.99482521346,0.014025470662053669,0.014025470662053672,4673.500797236157,4673.500797236157,0.002804535805021568,0.002804535805021568,26668.044238359424
11,DD2_M14321300_M0_LR,True,False,,,R04,LR,passed,DD2,1432.0,1.3,1.5689,1.4109,2.9798,1.41942345634,1.28880146176,8.954098133130001,8.930219143939999,0.15852201486700002,0.144319142181,0.0970220421932,0.104133353214,646.1377167730001,1108.86633759,847.6635642501843,159.02814694469785,0.05094454190572408,,2.70722,0.0451807773774,7.4062,1.7280737142500002,282.84698176405465,2440.17021277,0.009265628294598687,inf,0.05094454190572408,,,0.00124406,0.0,0.0015868644635563436,0.01819173396889351,35.313538573938125,0.2519476272551027,24.760454167765218,0.15981402220632446,0.028398670293588637,38560.26433482914,38560.26433482914,0.013866824940174743,0.013866824940174743,5703.653111805588,5703.653111805588,0.002955857948713971,0.002955857948713971,26068.282847039005
12,DD2_M14351298_M0_LR,True,False,,,R01,LR,passed,DD2,1435.0,1298.0,1.5743,1.4105,2.9848,1.42384261414,1.28846736986,8.95543757845,8.93012979813,0.158991692697,0.144283168519,0.0967289918761,0.104151310814,634.723987019,1110.44044957,840.8444014427437,157.75574966764574,0.03814535625366716,,2.7073,0.0410429378759,7.405689999999999,1.65253389976,282.8422071157618,2440.17021277,0.011771835525776536,inf,0.03814535625366716,,,0.00101215,0.0,0.0016390624218635382,0.022872682333191115,35.44737642386594,0.2338168482867357,21.046976423158625,0.18236004251889545,0.030083793383161736,38241.89362130728,38241.89362130728,0.014211084548355781,0.014211084548355781,4982.486558763945,4982.486558763945,0.002873290920696875,0.002873290920696875,27118.236569585268
13,DD2_M14861254_M0_HR,True,False,,,R03,HR,not passed,DD2,1486.0,1254.0,1.6359,1.3583,2.9942,1.4740133838,1.24471363159,8.96166461003,8.91309676871,0.16447984299,0.139649874543,0.0937810452991,0.106731976282,519.349649344,1339.67094521,837.8555014749272,157.37069379166357,0.013492737583941771,,2.71388,0.00732022397983,7.40895,0.636358267291,283.32444659333026,995.987841945,0.010613027901061223,inf,0.013492737583941771,,,6.40777e-07,5.411563038689842e-05,0.0003704972864155165,0.001093357388516188,11.643005127751989,0.15964009212900898,98.78261828202322,0.05869726441492125,1.973200855230604e-06,131301.19244378162,131301.19244378162,0.02460658095116673,0.02460658095116673,29540.17657425321,29540.17657425321,0.006005488058432268,0.006005488058432268,79207.26666820022
14,DD2_M14861254_M0_LR,True,False,,,R01,LR,passed,DD2,1486.0,1254.0,1.6359,1.3583,2.9942,1.4740133838,1.24471363159,8.96166461003,8.91309676871,0.16447984299,0.139649874543,0.0937810452991,0.106731976282,519.349649344,1339.67094521,837.8555014749272,157.37069379166357,0.04028906222494763,,2.71388,0.033996947724099995,7.40895,1.45945741486,283.32444659333026,2440.17021277,0.01188191268553238,inf,0.04028906222494763,,,0.0016582,0.0,0.0018889359018157336,0.03276322503770366,31.114676933432182,0.1985926985781328,16.63100442630563,0.16517801801471474,0.0404361874531572,32851.05461256525,32851.05461256525,0.01218240110474352,0.01218240110474352,4356.677785743129,4356.677785743129,0.002586756859995825,0.002586756859995825,22154.430590300522
15,DD2_M14971246_M0_LR,True,False,,,,LR,passed,DD2,1497.0,1246.0,,,,,,,,,,,,,,,,0.046562554699724285,,,0.0379085046316,,1.53497053581,,2440.17021277,0.009280981289463064,inf,0.046562554699724285,,,0.00124425,0.0,0.0014207997946042187,0.02622073275601021,32.15101966171285,0.20623049896054246,20.210495048157526,0.17586470166526022,0.034394765662094866,,,,,,,,,
16,DD2_M15091235_M0_LK_SR,True,False,,,R04,SR,passed,DD2,1509.0,1235.0,1.6632,1.3343,2.9975,1.49611454524,1.22451440218,8.96395661617,8.91186674116,0.166903256584,0.137402887702,0.0924482717295,0.107466500474,475.861252986,1462.87498411,839.5582280921059,157.7969963704104,0.027166744422808,,2.71968,0.038817446440699996,7.40527,1.4794601572400001,283.28306630812637,2489.96960486,0.007748036684662964,inf,0.027166744422808,,,0.00268757,0.00042294357472902837,0.0031704992594988827,0.028389415957575836,30.30340368100475,0.1980137821952377,15.548060684224039,0.18235481651264893,0.07987730190124821,27195.501745170517,27195.501745170503,0.009630702151898068,0.009630702151898068,2501.673698573797,2501.673698573797,0.001971176669890724,0.001971176669890724,20153.836924435094
17,DD2_T05_15491205_45km_M0corot,True,True,,,R04_corot,,passed,DD2,1549.0,1205.0,1.7117,1299.0,3.0107,1.5352028707700005,1.19467633413,8.97075922091,8.901620423230002,0.171134158427,0.134209044827,0.0898696465327,0.108984794551,408.168571016,1668.66794411,833.4635530971727,156.8599555130242,0.05769091069769496,,2.73164,0.031248528273499998,8.0226,1.4158720030899998,282.5461789216109,2489.96960486,0.010115987007287386,inf,0.05769091069769496,,,0.00492247,0.0,0.0017091156210694276,0.05697371060409458,16.727400123759967,0.08056309366250987,7.720771767222552,0.13611873367130733,0.08151683174128507,28586.40209662873,28586.40209662873,0.010544367874295638,0.010544367874295638,4208.59150068273,4208.59150068273,0.0024443596082465834,0.0024443596082465834,20111.496722818203
18,DD2_T05_15491205_45km_M0LKcorot,True,True,,,R04_corot,,passed,DD2,1549.0,1205.0,1.7117,1299.0,3.0107,1.5352028707700005,1.19467633413,8.97075922091,8.901620423230002,0.171134158427,0.134209044827,0.0898696465327,0.108984794551,408.168571016,1668.66794411,833.4635530971727,156.8599555130242,0.037199603619278716,,2.73164,0.0359622214852,8.0226,1.53663265943,282.5461789216109,2440.17021277,0.010100224463380913,inf,0.037199603619278716,,,0.00545038,0.0,0.004991489337136919,0.040863997799032464,18.447663602016426,0.08852219418521699,8.185716115628635,0.14367464983303915,0.10055785903980947,26854.5888802956,26854.5888802956,0.009834136934147213,0.009834136934147213,3388.6815567819463,3388.6815567819463,0.00221733530765398,0.00221733530765398,19781.67038653165
19,LS220_M13641364_M0_HR,True,False,,,R01,HR,not passed,LS220,1364.0,1364.0,1.4912,1.4912,2.9824,1.34089609351,1.34089609351,8.61280868228,8.61280868228,0.155686193601,0.155686193601,0.0980886397017,0.0980886397017,714.948741246,714.948741246,714.9487412463478,134.05351980529338,0.015620681011315769,,2.70282,0.00964185710465,7.39835,0.7971639275769999,282.4745591972195,1095.58662614,0.01278082462205524,inf,0.015620681011315769,,,6.510819999999999e-07,0.00017459110764918935,0.00038768719385804616,0.0007624816419905631,13.445871955402286,0.1902271261599921,110.71592675745913,0.06559528861187991,2.5038558070279307e-06,131596.9006036975,131596.9006036975,0.024508631906502643,0.024508631906502643,29458.370125336933,29458.370125336933,0.005992669476215076,0.005992669476215076,78974.0044899727
