,name,EOS,publish,export,comment,resolution,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k31,k41,k22,k32,k42,lam21,lam31,lam41,lam22,lam32,lam42,Lambda,k2T,tend,finished,MADM,EGW,JADM,JGW,f0,fpeak,tcoll,Mdisk,Mdisk_fit,Mej,Yeej,Sej,vej,Ekej,chi2_simDisk,chi2_fitDisk,err_simDisk,err_fitDisk,chi2w_simDisk,chi2w_fitDisk,errw_simDisk,errw_fitDisk,chi2
10,BHBlp_M144139_LK,BHBlp,yes,yes,leakage,125,1.44,1.39,1.58001,1.52026,3.10027,1.42845994114214,1.37946041440251,8.9535534415221,8.94581027159223,0.16083,0.15538,0.09481,0.02519,0.00909,0.09772,0.02615,0.00951,587.3913919792,1206.69488128916,2404.92214982524,719.310854121257,1594.57374853502,3431.35111307928,650.209372648612,121.924397170414,13.666125566913,yes,2.79924,0.0600376184432,7.58863,1.87711104378,675312,2788.76595745,10.3899566740807,0.12918387142,0.097345767555993,0.000593162,0.175112251662,22.4988635919,0.203279926562,0.301705681388,58929.389929414,48090.791795982,0.020797092256443,0.016349658546469,11980.3672990429,6526.17046775929,0.003863646660215,0.003207405359558,58929.3899294139
11,BHBlp_M150150_LK,BHBlp,yes,yes,leakage,125,1.5,1.5,1.6565,1.6565,3313,1.49062547344027,1.49062547344027,8.96110878786069,8.96110878786069,0.16739,0.16739,0.09118,24,0.00857,0.09118,24,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,10.0013341086578,yes,2.9703,0.0459684907743,8.39708,1.50923752931,689.77,2738.96656535,2.27452903131665,0.0379784109765,0.077299641152068,0.000501553,0.172081440429,20.0825515967,0.234765225914,0.332283538433,290624.996755958,63626.307970191,0.037110669784219,0.016253809014488,31254.9875060694,5446.18423456426,0.006676920186404,0.003160381343048,290624.996755957
12,BHBlp_M150150_LK_HR,BHBlp,no,no,leakage,0.083333,1.5,1.5,1.6565,1.6565,3313,1.49062547344027,1.49062547344027,8.96110878786069,8.96110878786069,0.16739,0.16739,0.09118,24,0.00857,0.09118,24,0.00857,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,869.047296291726,1582.18015973377,462.552233111546,86.728543708415,0.819652283136651,no (20.18 ms to go),2.9703,0.00357711103715,8.39708,0.277375753631,689.77,,inf,,0.077299641152068,0.000000000541,0.300042793516,139.316021559,0.0487819835811,0.0000000135,152468.21073088,152468.21073088,0.022543041489866,0.022543041489866,29128.4134196878,29128.4134196878,0.005792444165369,0.005792444165369,152468.21073088
13,BHBlp_M160160_LK,BHBlp,yes,yes,leakage,125,1.6,1.6,1.77792,1.77792,3.55584,1.5879887042386,1.5879887042386,8.96810716888067,8.96810716888067,0.17841,0.17841,0.08488,0.02195,0.0077,0.08488,0.02195,0.0077,313.053198761785,508.673260549891,800.863835624408,313.053198761785,508.673260549891,800.863835624408,313.053198761785,58.6974747678346,8.54723943328555,yes,3.16204,0.0285081398365,9.32398,1.23561036129,703514,2838.56534954,0.993139586336954,0.0014048430316,0.011023967161267,0.0000129,0.197374706127,101.093929043,0.139630525652,0.00248976771576,9422026.8081026,1809970.21027405,0.196338224570659,0.093246719897928,1447256.27483057,259853.216972609,0.0358868550855,0.017868030846349,9422026.8081026
14,DD2_M120120_LK,DD2,yes,yes,leakage,125,1.2,1.2,1.29692,1.29692,2.59384,1.19292028901531,1.19292028901531,8.90405876678786,8.90405876678786,0.13477,0.13477,0.10752,0.02943,0.01096,0.10752,0.02943,0.01096,1612.24802950828,4859.33007687365,14233.5160506694,1612.24802950828,4859.33007687365,14233.5160506694,1612.24802950828,302.296505532803,24.6604999416786,yes,2.38178,0.0242802032085,5.75981,1.03735515322,633.08,2240.97264438,inf,,0.099836855487129,0.000755344,0.150490086402,20.8735331021,0.135433815231,0.164941304848,59042.6493645122,59042.6493645122,0.017804494356603,0.017804494356603,10544.1386044196,10544.1386044196,0.003896586436219,0.003896586436219,59042.6493645122
15,DD2_M125125_LK,DD2,yes,yes,leakage,125,1.25,1.25,1.35299,1.35299,2.70598,1.24025667835093,1.24025667835093,8.91710657725781,8.91710657725781,0.14018,0.14018,0.10517,0.02864,0.01061,0.10517,0.02864,0.01061,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,3590.1232699913,9669.00043270956,1295.29991380455,242.868733838352,32.3802058198743,yes,2.47564,0.0270131493896,6.16715,1.11114783636,644684,2340.57142857,inf,,0.099835974807158,0.000382383,0.176457572296,26.6464216165,0.149095565986,0.0991626097169,72930.9265406494,72930.9265406494,0.019996344540669,0.019996344540669,12183.1238621032,12183.1238621032,0.004272412651126,0.004272412651126,72930.9265406494
16,DD2_M1251365_LK,DD2,yes,yes,leakage,125,1365,1.25,1.49103,1.35241,2.84344,1.35537720861909,1.23976867182338,8.94143849076379,8.91710657725781,0.15266,0.14018,0.09914,0.02663,0.00972,0.10517,0.02864,0.01061,797.134058520787,1837.52432406198,4111.30445754929,1295.29991380455,3590.1232699913,9669.00043270956,1016.97535763328,190.768609561901,22.1424335526194,yes,2.58906,0.0318636844801,6.63885,1.23952844225,656,2440.17021277,inf,,0.099809246325441,0.000382209,0.150393460087,20.671743803,0.202034424404,0.201892090642,60081.274577846,60081.274577846,0.018544385462861,0.018544385462861,8836.42348232705,8836.42348232705,0.003681482015477,0.003681482015477,60081.2745778461
17,DD2_M130130_LK,DD2,yes,yes,leakage,125,1.3,1.3,1.41572,1.41572,2.83144,1.29282499228844,1.29282499228844,8.92795824462606,8.92795824462606,0.14561,0.14561,0.10267,0.02781,0.01024,0.10267,0.02781,0.01024,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,2671.78380087502,6628.56983908347,1045.67396125715,196.063867735717,22.9226794759899,yes,2.5796,0.03197616812,6.60881,1.24454539906,654862,2489.96960486,inf,,0.099817466747414,0.00120958,0.127007038172,14.856003598,0.178713598481,0.446845814056,35517.2526222728,35517.2526222728,0.013408468324727,0.013408468324727,4548.59218817552,4548.59218817552,0.002746276881891,0.002746276881891,35517.2526222727
18,DD2_M135135_LK,DD2,yes,yes,leakage,125,1.35,1.35,1.47277,1.47277,2.94554,1.34026500358747,1.34026500358747,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,22.3079402636374,yes,2.67288,0.0408860662854,7.01514,1.47438320298,663.58,2539.76899696,inf,,0.099616129547211,0.000293877,0.182207846677,27.3635168203,0.180606491386,0.118640078836,71769.9460182622,71769.9460182622,0.019947285948053,0.019947285948053,10995.5567854449,10995.5567854449,0.004119544383603,0.004119544383603,71769.9460182622
19,DD2_M135135_LK_HR,DD2,yes,yes,leakage,0.083333,1.35,1.35,1.47277,1.47277,2.94554,1.34026500358747,1.34026500358747,8.93862146593392,8.93862146593392,0.15103,0.15103,0.09996,0.0269,0.00984,0.09996,0.0269,0.00984,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,2001.00631782103,4584.23416460744,848.044957999892,159.00842962498,21.2951968176464,yes,2.67288,0.0450144999588,7.01514,1.56637554595,663.58,2639.36778116,inf,,0.099616129547211,0.000204825,0.181227080417,28.4006665241,0.185417360206,0.0892542327023,82511.5877094912,82511.5877094912,0.021035541961676,0.021035541961676,12853.5803638976,12853.5803638976,0.004404208446372,0.004404208446372,82511.5877094912
